n_estimators,HR,MAE,nDCG
1,0.601230868890054,1.60994431661455,0.6501424688605161
2,0.6562004429265651,1.5633173500119708,0.7022762122355077
3,0.6612089680757552,1.5713964177693294,0.6909145848355996
4,0.6846797816885567,1.5286106064155178,0.7043414425642307
5,0.6972727499103283,1.5214035570334605,0.7161879386710159
6,0.7100351846808767,1.5113142784374385,0.7250968486883471
7,0.7100351846808767,1.5100542289234744,0.7255258561959785
8,0.7188228076761017,1.4982292369984245,0.7299638648956135
9,0.7220907815323109,1.5002538692647074,0.7325782439805808
10,0.725031958002899,1.4986711560696595,0.7349311851570514
11,0.7388250614511749,1.4856076704936854,0.7479391024507764
12,0.7388250614511749,1.4856076704936854,0.7479391024507764
13,0.7416261818993541,1.4935871269497643,0.7479391024507764
14,0.7416261818993541,1.4935871269497643,0.7479391024507764
15,0.7416261818993541,1.4935871269497643,0.7479391024507764
16,0.7416261818993541,1.4935871269497643,0.7479391024507764
17,0.7444273023475334,1.4923945111276078,0.7506498641748207
18,0.7444273023475334,1.4923945111276078,0.7506498641748207
19,0.7481037729357687,1.4898265522856293,0.7577656137004375
20,0.7481037729357687,1.4898265522856293,0.7577656137004375
21,0.7481037729357687,1.4898265522856293,0.7577656137004375
22,0.7481037729357687,1.4898265522856293,0.7577656137004375
23,0.7481037729357687,1.4898265522856293,0.7577656137004375
24,0.7481037729357687,1.4898265522856293,0.7577656137004375
25,0.7481037729357687,1.4898265522856293,0.7577656137004375
26,0.7481037729357687,1.4898265522856293,0.7577656137004375
27,0.7481037729357687,1.4898265522856293,0.7577656137004375
28,0.751044949406357,1.4861539945124296,0.7606119135106841
29,0.751044949406357,1.4861539945124296,0.7606119135106841
30,0.751044949406357,1.4861539945124296,0.7606119135106841
31,0.751044949406357,1.4861539945124296,0.7606119135106841
32,0.751044949406357,1.4861539945124296,0.7606119135106841
33,0.751044949406357,1.4861539945124296,0.7606119135106841
34,0.751044949406357,1.4861539945124296,0.7606119135106841
35,0.751044949406357,1.4861539945124296,0.7606119135106841
36,0.751044949406357,1.4861539945124296,0.7606119135106841
37,0.751044949406357,1.4861539945124296,0.7606119135106841
38,0.751044949406357,1.4861539945124296,0.7606119135106841
39,0.751044949406357,1.4861539945124296,0.7606119135106841
40,0.751044949406357,1.4861539945124296,0.7606119135106841
41,0.751044949406357,1.4861539945124296,0.7606119135106841
42,0.751044949406357,1.4861539945124296,0.7606119135106841
43,0.751044949406357,1.4861539945124296,0.7606119135106841
44,0.751044949406357,1.4861539945124296,0.7606119135106841
45,0.751044949406357,1.4861539945124296,0.7606119135106841
46,0.751044949406357,1.4861539945124296,0.7606119135106841
47,0.751044949406357,1.4861539945124296,0.7606119135106841
48,0.751044949406357,1.4861539945124296,0.7606119135106841
49,0.751044949406357,1.4861539945124296,0.7606119135106841
50,0.751044949406357,1.4861539945124296,0.7606119135106841
